InstrumentID,SymbolFull
220000,ETH.SPOT
1000167,GWA.ASX
1000264,AIZ.ASX
1000431,MAU.ASX
1000674,MLX.ASX
1000714,XRF.ASX
1000806,SVR.ASX
1001058,AIS.ASX
1001233,TYR.ASX
1001463,BC8.ASX
1001783,VSL.ASX
1013114,NCCA.ST
1013144,ORES.ST
1013716,FINGB.ST
1013731,SVEDB.ST
1013835,DANTB.CO
1013849,PARKSTA.CO
1013868,STER.ST
1014361,SVEAF.ST
1015121,PREC.ST
1015302,TRAD.ST
1016664,REJLB.ST
1016985,FPIP.ST
1018020,OREGE.PA
1020274,FED.CO
1022467,ENITY.ST
1027405,FNOVAB.ST
1027820,CINT.ST
1028633,CORED.ST
1030978,PRISMA.ST
1031336,INTEAD.ST
1047889,ALOT
1047910,XELB
1048003,ENVB
1048498,NAII
1048528,TRX.US
1048617,SCWO
1048788,INLX
1048846,DWTX
1048857,EPSN
1048989,NNVC
1049034,BBGI
1049083,TWAV
1049092,BOTJ
1049098,FSI
1049141,AIRI
1049229,WSBK
1049246,DGICB
1049271,HYFT
1049301,DSS
1049354,TBHC
1049368,XTLB
1049399,HBM
1049409,EFSI
1049482,MYFW
1049648,NVNO
1049670,FRBA
1049690,STIM
1049722,ODV
1050264,VTAK
1050305,PYPD
1050317,NIPG
1050328,AEBI
1050480,EZRA
1050504,NMG
1050524,SUGP
1050529,DBVT
1050622,IPHA
1050634,MYND
1050670,COE
1050766,ALAR
1050820,FEDU
1050828,RFL
1050838,GAME
1050844,TRMD
1050912,XRTX
1050940,DAO
1051025,PHGE
1051158,MNTS
1051174,CURI
1051181,SOPA
1051187,DPRO
1051229,NXGL
1051268,AUST
1051301,JZXN
1051311,LXEH
1051312,LNSR
1051382,EEIQ
1051386,PDYN
1051413,NVVE
1051418,RMCO
1051467,SAIH
1051481,ONMD
1051502,SNTG
1051552,KTTA
1051624,ACXP
1051640,DDL
1051642,SHFS
1051668,AVBP
1051669,RLYB
1051730,BZAI
1051757,EMPD
1051787,NMRA
1051808,CYCU
1051921,NVX
1052035,ONFO
1052057,MOB
1052069,HTCO
1052223,WETO
1052289,NIVF
1052313,BATRA
1052323,SELX
1052359,IBO
1052372,KAPA
1052386,ITOC
1052408,FBLG
1052463,SKK
1052473,WGRX
1052514,FBLA
1052534,NMP
1052564,SPAI
1052583,ADGM
1052712,TAVI
1052732,ARAI
1052754,PGAC
1052777,IPEX
1052803,IPOD.US
1052858,STRZ
1052879,RTAC
1058618,ETS
1059560,ORIQ
1059669,CBK
1060850,BLZR
1060883,OTGA
1060942,LKSP
1061267,DYOR
1061268,ALIS
1061306,BRI.MI
1061328,IRC.MI
1061357,DAL.MI
1061358,BSS.MI
1061404,LNDR.MI
1061432,LUVE.MI
1061528,ABT.MI
1061559,SIT.MI
1061589,SOM.MI
1061622,NWL.MI
3,NZDUSD
43,EUSTX50
72,CHFHUF
92,SUGAR.FUT
311,OJ.FUT
333,Carbon.FUT
338,LeanHogs.FUT
422,CANOLA.FUT
1019,HPQ
1029,PG
1056,MTBLY
1069,SMCI
1102,PBR
1145,CHKP
1152,FTRE
1159,ETSY
1188,CAVA
1212,MUV2.DE
1216,DHL.DE
1263,SGO.PA
1405,ADEN.ZU
1431,FALN
1434,ICVT
1529,MDLZ
1554,FLR.US
1590,AES
1591,GLP
1596,BAX
1636,MRSH
1655,HUN
1658,BBWI
1661,BLK
1690,MOH
1717,NWSA
1757,NEM
1767,DKS
1815,PHM
1820,EXPE
1872,RJF
1909,CTAS
1926,FBIN
1967,XYZ
2002,ADM.L
2014,BATS.L
2031,EZJ.L
2032,FRES.L
2042,IMI.L
2057,NG.L
2063,PSON.L
2098,FERG.L
2110,BA.L
2115,MNG.L
2126,LIO.L
2145,HTWS.L
2175,SMSN.L
2224,PRS.OL
2280,FORTUM.HE
2287,WRT1V.HE
2294,BOKF
2329,0968.HK
2341,1966.HK
2416,1038.HK
2417,1044.HK
2427,SXRG.DE
2454,WCN
2465,PAR
2484,NXT.US
2504,EVT.DE
2518,G1A.DE
2522,SZU.DE
2590,JEN.DE
2614,BBY.L
2621,RCP.L
2643,DLN.L
2655,ELM.L
2665,LMP.L
2714,CTY.L
2778,BWY.L
2780,BAG.L
2781,SAGA.L
2784,JUST.L
2805,SRP.L
2815,FEML.L
2861,IUAA.L
2867,FIHL
2878,T.RTH
2907,SXR2.DE
2933,IS3Q.DE
2936,IUSB.DE
2944,QDVE.DE
2963,ERIC-B.ST
2964,VOLV-B.ST
2993,SPM.MI
3033,ICOP.MI
3104,WEAT
3165,ARKF
3174,DBO
3192,IHI
3225,SH
3265,GUBRA.CO
3270,HH.CO
3277,SXRH.DE
3298,WELU.DE
3301,CBRS.DE
3324,PME.ASX
3328,NHC.ASX
3417,SPY.RTH
3433,CSX5.L
3558,CEM.MI
3590,ODET.PA
3660,HEN.DE
3669,DEZ.DE
3706,IOS.DE
3716,CAF.MC
4016,BB
4045,DNOW
4057,FLO
4069,HAIN
4105,MAA
4149,SIG
4202,LAZ
4205,AON
4213,CCU
4223,FBK.MI
4237,VTI
4249,ABEV
4264,ADI.US
4270,PSA
4334,EMB
4363,VST
4462,FAZ
4485,WB
4489,NIO
4548,URW.PA
5016,ELIOR.PA
5039,TFI.PA
5509,AENA.MC
5512,APPS.MC
5576,METSB.HE
5613,HTZWW
5680,HUBB
5733,INGA.NV
5798,EQNR.OL
5862,SOBI.ST
5980,PAGS
6022,SFIX
6028,MTH
6037,CRUS
6053,CROX
6091,HTHT
6114,AIN
6153,TMV.DE
6186,SBLX
6234,IZEA
6258,OCGN
6279,SSSS
6283,TBLT
6312,APPF
6320,CIBR
6431,GO
6454,ITRI
6482,NKTR
6483,NMRK
6525,RVMD
6551,TRVG
6572,XP
6643,CIM
6645,CLF.US
6648,CM
6702,FNV
6704,FR.US
6705,FRO
6721,GTN
6744,IBN
6751,IRT
6800,NVGS
6812,RVLV
6841,SAFE.US
6875,TROX
6898,WES
7019,S32.ASX
7020,BRN.ASX
7026,NST.ASX
7059,DMP.ASX
7065,ILU.ASX
7071,SDF.ASX
7080,VTS.ASX
7086,TLS.ASX
7101,TLX.ASX
7104,NIC.ASX
7144,NUF.ASX
7162,KLS.ASX
7528,PRX.NV
7698,CNI
7790,FUTU
7904,OSG
7916,VITL
7975,NMFC
8015,CNDX.L
8593,GFS
8609,TPG
8626,AKA.US
8638,E
8678,SAP
8692,ONC
8728,GRPN
8734,CMPS
8759,IBM.RTH
8814,RBRK
8904,GTLS
8912,RBC
8958,MSM
8988,VSAT
9004,AMBR
9074,SNA
9080,AGL
9088,EXP
9113,SWX
9123,RLAY
9278,MFLTY
9404,MARA.RTH
9418,AI.RTH
9428,NTR
9442,VAL.US
9445,DV
9466,JXN
9467,MLTX
9507,STRL.US
9536,UEC
9543,RDNT
9549,GOLF
9567,SPXC
9597,TNK
9642,PLAB
9643,ESAB
9668,VECO
9687,TNGX
9692,GPCR
9707,WWW
9715,FULC
9793,CLFD
9805,MGRC
9827,BMA
9846,CRGY
9865,ASLE
9901,NBTB
9909,LMB
9913,VERX
9937,FCF
9948,NBHC
9952,TIGR
9983,LOCO
9989,SANA
9992,CHCO
10027,DTC.AE
10166,VNET
10189,LYTS
10194,SENEA
10196,FMNB
10207,BWMN
10212,BTMD
10222,AIRS
10230,ALRS
10290,MGTX
10291,CBUS
10321,GASS
10327,EGRX
10347,STHO
10356,MPAA
10387,CAAP
10389,TGS.US
10417,BY
10492,CTO
10517,ONTF
10520,QUAD.US
10566,IBCS.DE
10584,UCT2.DE
10615,QDVW.DE
10633,IBC5.DE
10653,DEL2.DE
10687,PMVP
10702,EMR.ASX
10711,SMRT
10726,EJH
10739,AONC
10782,SUSC
10813,VTMX
10874,AGZ
10882,TMC
10937,DOUG
10967,LUNR
11010,BVS
11016,KGN.ASX
11024,GFR
11065,HSPOF
11071,NUCL
11074,ISPR
11124,CSPI
11128,FINX
11212,CABP.L
11224,ARKG.L
11293,YU..L
11316,PXS.L
11337,FORT.L
11428,AGFX.L
11466,SSIT.L
11476,SEPL.L
11568,CGS.L
11604,XAR.L
11605,TMIP.L
11638,OMU.L
11847,CAM.L
11860,NCYT.L
12207,HNGE
12234,BMW3.DE
12292,JY0.DE
12317,DRW8.DE
12320,NP5.DE
12327,BKHT.DE
12339,DP4A.DE
12340,BIO3.DE
12350,WEW.DE
12356,SJJ.DE
12361,CRZK.DE
12374,DEF.DE
12397,WAH.DE
12490,WFA.DE
12510,T9Z.DE
12534,EFF0.DE
12590,VROS.DE
12593,T3T1.DE
12602,REN.NV
12604,FUR.NV
12626,SLIGR.NV
12648,AJAX.NV
12669,BEKB.BR
12694,COMB.BR
12695,NYXH.BR
12700,WEHB.BR
12717,CENER.BR
12734,GALP.LS
12750,PHR.LS
12792,PEN.OL
12800,SBNOR.OL
12806,SOFF.OL
12837,FLNG.OL
12874,ANDF.OL
12877,MEDI.OL
12912,CAMBI.OL
12931,ABTEC.OL
12933,BCS.OL
12954,GEOS.OL
12961,KLDVK.OL
12971,DSRT.OL
12990,NISB.OL
12997,IWS.OL
13060,VETO.PA
13065,ALCBX.PA
13070,MDM.PA
13078,POXEL.PA
13079,ALKLH.PA
13107,AB.PA
13118,ALBIO.PA
13125,CRBP2.PA
13136,ALTME.PA
13137,ALAFY.PA
13163,ALBPS.PA
13173,LHYFE.PA
13243,ALATA.PA
13261,ALCOG.PA
13279,ALPRG.PA
13288,ALHF.PA
13569,FSIG
13581,GNS.US
13602,SLB.RTH
13626,MA.RTH
13666,6690.HK
13701,2202.HK
13774,ASKER.ST
13865,ALMAC.HE
13872,SCANFL.HE
13884,BITTI.HE
13900,ATRAV.HE
13907,UNITED.HE
13919,HKFOODS.HE
13934,SCHO.CO
13946,TIV.CO
13978,LUXORb.CO
14256,META.EUR
14267,EASOR.HE
14308,ASML.RTH
14312,BKNG.RTH
14340,EA.RTH
14368,LIDR
14378,FFAI
14379,GRRR
14388,GLTO
14405,SDRL
14416,AFRM.RTH
14451,CEU2.L
14453,SP5C.L
14457,CP9U.PA
14758,ABBV.RTH
14765,WDC.RTH
14782,ABT.RTH
14786,PGR.RTH
14816,FISV.RTH
14823,EXPE.RTH
14835,CVS.RTH
14855,IT.RTH
14884,NSC.RTH
14889,FANG.RTH
14897,SWKS.RTH
14902,TSCO.RTH
14908,PWR.RTH
14952,CDW.RTH
14998,POOL.RTH
15002,VTR.RTH
15004,MTB.RTH
15042,AWK.RTH
15083,BAX.RTH
15090,INVH.RTH
15092,LH.RTH
15107,MAA.RTH
15127,CINF.RTH
15143,NWS.RTH
15146,MRVL.RTH
15148,ZS.RTH
15171,POM
15196,PONY
15201,LIFE
15321,CHM.PA
15375,ELLE.L
15393,COCB.L
15450,SPMV.L
15452,IUQD.L
15481,ESIF.DE
15509,10AI.DE
15519,ZPR1.DE
100059,ALICE
100083,SGB
100123,AJPY
100125,ETHA
100162,XRPEUR
100188,LTCJPY
100245,XRPDASH
100255,DASHJPY
100308,TRUMP
100313,PYR
100335,OP
100337,NEAR
100460,DOGEEUR
215005,BTC.MAR26
224000,DOW30.SPOT
225007,10Y.MAR26
1000253,BTL.ASX
1000602,OBM.ASX
1000618,SPZ.ASX
1000825,EOL.ASX
1000989,IFT.ASX
1001098,MGH.ASX
1001274,OML.ASX
1001334,USL.ASX
1001358,QOR.ASX
1001423,TTT.ASX
1001666,C79.ASX
1013131,ELANB.ST
1013305,SSABB.ST
1013315,AGFB.CO
1013564,HEBAB.ST
1013728,WUF1V.HE
1013985,ANOT.ST
1014981,ACG1V.HE
1016267,BTSB.ST
1019229,B3.ST
1020708,APOTEA.ST
1021016,ELTEL.ST
1021579,KAMUX.HE
1025676,ARIONSDB.ST
1026450,8TRA.ST
1026743,BESQAB.ST
1028565,SLEEP.ST
1029195,LOGIB.ST
1047914,CATX
1047937,FCAP
1047960,JOB
1048011,ARMP
1048019,VALU
1048024,XOMA
1048034,CFBK
1048550,ATLO
1048551,CHMG
1048643,JCTC
1048789,TRT
1048872,AII
1048878,YDKG
1048986,SIFY
1049041,VNRX
1049225,MCHX
1049377,CZWI
1049382,WHG
1049394,OCC
1049446,BWFG
1049479,BAFN
1049608,IGC
1049720,CIG-C
1049765,PPSI
1050000,PFX
1050057,BCTX
1050130,LRMR
1050216,TARA
1050230,RNTX
1050366,AMPG
1050396,GLSI
1050470,MDWD
1050584,PXS
1050667,QTTB
1050762,XCUR
1050786,RETO
1050816,AXIL
1050915,WKEY
1050934,SOHU
1050955,JF
1051022,HKIT
1051041,XTKG
1051053,BGLC
1051065,BHAT
1051124,TIVC
1051183,ALGS
1051258,ARTV
1051315,NFGC
1051316,WNW
1051317,AFBI
1051344,EZGO
1051356,YQ
1051361,FORA
1051366,LXEO
1051397,EDBL
1051484,CLST
1051494,CLYM
1051531,CHSN
1051710,DC
1051739,TLSA
1051800,IOBT
1051807,TVGN
1052088,IONR
1052209,CRGO
1052215,CASIF
1052310,GSIW
1052340,NAMI
1052404,JL
1052468,LZMH
1052488,PACS
1052543,CCIX
1052555,AGH
1052581,PTLE
1052608,HIT
1052615,FCHL
1052629,RDAC
1052643,SLGB
1052689,STAK
1052698,LPBB
1052714,FGMC
1052738,DMAA
1052762,RAC
1052787,PFAI
1052811,HCHL
1052861,AVBC
1052938,PEW
1059272,AOMR
1059671,OTH
1061326,IGV.MI
1061339,PRO.MI
1061365,SERI.MI
1061377,GEO.MI
1061556,CELL.MI
1061594,GHC.MI
1065241,TII
1065567,PURR
50,GBPAUD
55,NZDJPY
301,SGX
319,EuroNatGas.FUT
337,LiveCattle.FUT
379,COAL.FUT
425,EURILS
459,USDTWD
461,USDIDR
1024,KO
1079,ESGU
1095,EFG
1128,MSI
1141,BIDU
1246,TTE.PA
1277,BPE.MI
1314,AMS.MC
1334,MAP.MC
1364,VFS
1393,GUNR
1394,IJS
1411,HOLN.ZU
1423,ESGV
1435,IFRA
1469,HON
1473,CPRI
1483,PSX
1493,UPS
1526,DE
1541,DUK
1571,IEP
1580,GT
1592,TMO
1626,LNC
1628,CHRW
1645,VFC
1657,SWK
1678,HSIC
1722,BDX
1728,DK
1733,MUR
1752,BX
1766,LYV
1805,LH
1856,BIGGQ
1868,LHX
1876,ATO
1906,LRCX
1952,AME
2078,SDR.L
2113,SGE.L
2146,JTC.L
2151,BTRW.L
2158,RTO.L
2169,ASC.L
2192,PSQ
2202,VET.US
2204,UCB
2249,SKA-B.ST
2267,DSV.CO
2292,WHD
2337,2601.HK
2340,2238.HK
2357,00019.HK
2362,00257.HK
2391,02388.HK
2424,9658.HK
2435,BOH
2437,SFNC
2450,FBNC
2461,FTS
2503,CEC.DE
2527,GBF.DE
2563,RAA.DE
2569,G24.DE
2622,UTG.L
